Data,UF,Municipio,Residencial,Locais de Trabalho,Estações de transp. público,Parques,Mercados e farmácias,Varejo e lazer
2020-02-15,Amazonas,Iranduba,,6.0,,-35.0,,-15.0
2020-02-16,Amazonas,Iranduba,,-5.0,,-38.0,,-10.0
2020-02-17,Amazonas,Iranduba,,14.0,,,,
2020-02-18,Amazonas,Iranduba,,14.0,,,,
2020-02-19,Amazonas,Iranduba,,13.0,,,,
2020-02-20,Amazonas,Iranduba,,14.0,,,,
2020-02-21,Amazonas,Iranduba,,17.0,,,,
2020-02-22,Amazonas,Iranduba,,-1.0,,-12.0,,-3.0
2020-02-23,Amazonas,Iranduba,,-1.0,,22.0,,3.0
2020-02-24,Amazonas,Iranduba,,-25.0,,,,
2020-02-25,Amazonas,Iranduba,,-44.0,,,,
2020-02-26,Amazonas,Iranduba,,-27.0,,,,
2020-02-27,Amazonas,Iranduba,,16.0,,,,
2020-02-28,Amazonas,Iranduba,,19.0,,,,
2020-02-29,Amazonas,Iranduba,,6.0,,-56.0,,-2.0
2020-03-01,Amazonas,Iranduba,,,,-43.0,,-13.0
2020-03-02,Amazonas,Iranduba,,16.0,,,,
2020-03-03,Amazonas,Iranduba,,20.0,,,,
2020-03-04,Amazonas,Iranduba,,20.0,,,,
2020-03-05,Amazonas,Iranduba,,20.0,,,,
2020-03-06,Amazonas,Iranduba,,24.0,,,,
2020-03-07,Amazonas,Iranduba,,4.0,,-35.0,,1.0
2020-03-08,Amazonas,Iranduba,,,,-8.0,,15.0
2020-03-09,Amazonas,Iranduba,,12.0,,,,
2020-03-10,Amazonas,Iranduba,,21.0,,,,
2020-03-11,Amazonas,Iranduba,,16.0,,,,
2020-03-12,Amazonas,Iranduba,,18.0,,,,
2020-03-13,Amazonas,Iranduba,,23.0,,,,
2020-03-14,Amazonas,Iranduba,,-4.0,,-66.0,,-34.0
2020-03-15,Amazonas,Iranduba,,,,-42.0,,-13.0
2020-03-16,Amazonas,Iranduba,,17.0,,,,
2020-03-17,Amazonas,Iranduba,,12.0,,,,
2020-03-18,Amazonas,Iranduba,,-7.0,,,,
2020-03-19,Amazonas,Iranduba,,-13.0,,,,
2020-03-20,Amazonas,Iranduba,,-6.0,,,,-26.0
2020-03-21,Amazonas,Iranduba,,-14.0,,-54.0,,-39.0
2020-03-22,Amazonas,Iranduba,,-23.0,,-81.0,,-66.0
2020-03-23,Amazonas,Iranduba,,-36.0,,,,
2020-03-24,Amazonas,Iranduba,,-31.0,,,,
2020-03-25,Amazonas,Iranduba,,-36.0,,,,
2020-03-26,Amazonas,Iranduba,,-35.0,,,,
2020-03-27,Amazonas,Iranduba,,-32.0,,,,-37.0
2020-03-28,Amazonas,Iranduba,,-29.0,,-71.0,,-53.0
2020-03-29,Amazonas,Iranduba,,-20.0,,-84.0,,-65.0
2020-03-30,Amazonas,Iranduba,,-36.0,,,,
2020-03-31,Amazonas,Iranduba,,-35.0,,,,
2020-04-01,Amazonas,Iranduba,,-29.0,,,,
2020-04-02,Amazonas,Iranduba,,-31.0,,,,
2020-04-03,Amazonas,Iranduba,,-28.0,,,,-29.0
2020-04-04,Amazonas,Iranduba,,-32.0,,-73.0,,-51.0
2020-04-05,Amazonas,Iranduba,,-27.0,,-88.0,,-73.0
2020-04-06,Amazonas,Iranduba,,-38.0,,,,
2020-04-07,Amazonas,Iranduba,,-30.0,,,,
2020-04-08,Amazonas,Iranduba,,-39.0,,,,
2020-04-09,Amazonas,Iranduba,,-40.0,,,,
2020-04-10,Amazonas,Iranduba,,-61.0,,,,-58.0
2020-04-11,Amazonas,Iranduba,,-35.0,,,,
2020-04-12,Amazonas,Iranduba,,-28.0,,,,-80.0
2020-04-13,Amazonas,Iranduba,,-35.0,,,,
2020-04-14,Amazonas,Iranduba,,-36.0,,,,
2020-04-15,Amazonas,Iranduba,,-38.0,,,,
2020-04-16,Amazonas,Iranduba,,-38.0,,,,
2020-04-17,Amazonas,Iranduba,,-33.0,,,,-50.0
2020-04-18,Amazonas,Iranduba,,-31.0,,,,
2020-04-19,Amazonas,Iranduba,,-30.0,,-88.0,,-76.0
