Região,UF,Data,População,Casos Acumulados,Novos Casos,Óbitos Acumulados,Novos Óbitos,Região Metropolitana,Ano,Semana
Norte,AM,2020-03-27,2549078.0,0.0,0.0,0.0,0.0,Grande Manaus,2020,2020-03-23
Norte,AM,2020-03-28,2549078.0,107.0,107.0,0.0,0.0,Grande Manaus,2020,2020-03-23
Norte,AM,2020-03-29,2549078.0,135.0,28.0,0.0,0.0,Grande Manaus,2020,2020-03-23
Norte,AM,2020-03-30,2549078.0,145.0,10.0,0.0,0.0,Grande Manaus,2020,2020-03-30
Norte,AM,2020-03-31,2549078.0,169.0,24.0,2.0,2.0,Grande Manaus,2020,2020-03-30
Norte,AM,2020-04-01,2549078.0,191.0,22.0,2.0,0.0,Grande Manaus,2020,2020-03-30
Norte,AM,2020-04-02,2549078.0,217.0,26.0,2.0,0.0,Grande Manaus,2020,2020-03-30
Norte,AM,2020-04-03,2549078.0,248.0,31.0,6.0,4.0,Grande Manaus,2020,2020-03-30
Norte,AM,2020-04-04,2549078.0,299.0,51.0,11.0,5.0,Grande Manaus,2020,2020-03-30
Norte,AM,2020-04-05,2549078.0,404.0,105.0,13.0,2.0,Grande Manaus,2020,2020-03-30
Norte,AM,2020-04-06,2549078.0,514.0,110.0,19.0,6.0,Grande Manaus,2020,2020-04-06
Norte,AM,2020-04-07,2549078.0,617.0,103.0,23.0,4.0,Grande Manaus,2020,2020-04-06
Norte,AM,2020-04-08,2549078.0,781.0,164.0,28.0,5.0,Grande Manaus,2020,2020-04-06
Norte,AM,2020-04-09,2549078.0,875.0,94.0,37.0,9.0,Grande Manaus,2020,2020-04-06
Norte,AM,2020-04-10,2549078.0,952.0,77.0,47.0,10.0,Grande Manaus,2020,2020-04-06
Norte,AM,2020-04-11,2549078.0,1022.0,70.0,50.0,3.0,Grande Manaus,2020,2020-04-06
Norte,AM,2020-04-12,2549078.0,1169.0,147.0,56.0,6.0,Grande Manaus,2020,2020-04-06
Norte,AM,2020-04-13,2549078.0,1233.0,64.0,67.0,11.0,Grande Manaus,2020,2020-04-13
Norte,AM,2020-04-14,2549078.0,1433.0,200.0,86.0,19.0,Grande Manaus,2020,2020-04-13
Norte,AM,2020-04-15,2549078.0,1500.0,67.0,100.0,14.0,Grande Manaus,2020,2020-04-13
Norte,AM,2020-04-16,2549078.0,1652.0,152.0,117.0,17.0,Grande Manaus,2020,2020-04-13
Norte,AM,2020-04-17,2549078.0,1736.0,84.0,138.0,21.0,Grande Manaus,2020,2020-04-13
Norte,AM,2020-04-18,2549078.0,1818.0,82.0,150.0,12.0,Grande Manaus,2020,2020-04-13
Norte,AM,2020-04-19,2549078.0,1933.0,115.0,172.0,22.0,Grande Manaus,2020,2020-04-13
Norte,AM,2020-04-20,2549078.0,2041.0,108.0,175.0,3.0,Grande Manaus,2020,2020-04-20
Norte,AM,2020-04-21,2549078.0,2121.0,80.0,181.0,6.0,Grande Manaus,2020,2020-04-20
Norte,AM,2020-04-22,2549078.0,2293.0,172.0,193.0,12.0,Grande Manaus,2020,2020-04-20
Norte,AM,2020-04-23,2549078.0,2649.0,356.0,217.0,24.0,Grande Manaus,2020,2020-04-20
Norte,AM,2020-04-24,2549078.0,2878.0,229.0,235.0,18.0,Grande Manaus,2020,2020-04-20
Norte,AM,2020-04-25,2549078.0,3126.0,248.0,264.0,29.0,Grande Manaus,2020,2020-04-20
Norte,AM,2020-04-26,2549078.0,3203.0,77.0,278.0,14.0,Grande Manaus,2020,2020-04-20
Norte,AM,2020-04-27,2549078.0,3256.0,53.0,290.0,12.0,Grande Manaus,2020,2020-04-27
Norte,AM,2020-04-28,2549078.0,3505.0,249.0,310.0,20.0,Grande Manaus,2020,2020-04-27
Norte,AM,2020-04-29,2549078.0,3849.0,344.0,332.0,22.0,Grande Manaus,2020,2020-04-27
Norte,AM,2020-04-30,2549078.0,4126.0,277.0,365.0,33.0,Grande Manaus,2020,2020-04-27
Norte,AM,2020-05-01,2549078.0,4425.0,299.0,411.0,46.0,Grande Manaus,2020,2020-04-27
Norte,AM,2020-05-02,2549078.0,4645.0,220.0,424.0,13.0,Grande Manaus,2020,2020-04-27
Norte,AM,2020-05-03,2549078.0,5141.0,496.0,459.0,35.0,Grande Manaus,2020,2020-04-27
Norte,AM,2020-05-04,2549078.0,5477.0,336.0,484.0,25.0,Grande Manaus,2020,2020-05-04
Norte,AM,2020-05-05,2549078.0,6030.0,553.0,534.0,50.0,Grande Manaus,2020,2020-05-04
