estado,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
AC,2020-03-27,881935,0,0,0,0
AC,2020-03-28,881935,25,25,0,0
AC,2020-03-29,881935,34,9,0,0
AC,2020-03-30,881935,42,8,0,0
AC,2020-03-31,881935,42,0,0,0
AC,2020-04-01,881935,43,1,0,0
AC,2020-04-02,881935,43,0,0,0
AC,2020-04-03,881935,46,3,0,0
AC,2020-04-04,881935,46,0,0,0
AC,2020-04-05,881935,48,2,0,0
AC,2020-04-06,881935,50,2,0,0
AC,2020-04-07,881935,50,0,1,1
AC,2020-04-08,881935,54,4,2,1
AC,2020-04-09,881935,62,8,2,0
AC,2020-04-10,881935,70,8,2,0
AC,2020-04-11,881935,72,2,2,0
AC,2020-04-12,881935,77,5,2,0
AC,2020-04-13,881935,90,13,3,1
AC,2020-04-14,881935,99,9,3,0
AC,2020-04-15,881935,101,2,3,0
AC,2020-04-16,881935,110,9,5,2
AC,2020-04-17,881935,135,25,5,0
AC,2020-04-18,881935,142,7,5,0
AC,2020-04-19,881935,163,21,6,1
AC,2020-04-20,881935,176,13,8,2
AC,2020-04-21,881935,195,19,8,0
AC,2020-04-22,881935,214,19,8,0
AC,2020-04-23,881935,227,13,10,2
AC,2020-04-24,881935,234,7,11,1
AC,2020-04-25,881935,258,24,11,0
AC,2020-04-26,881935,279,21,11,0
AC,2020-04-27,881935,301,22,14,3
AC,2020-04-28,881935,311,10,16,2
AC,2020-04-29,881935,354,43,17,1
AC,2020-04-30,881935,404,50,19,2
AC,2020-05-01,881935,486,82,19,0
AC,2020-05-02,881935,553,67,22,3
AC,2020-05-03,881935,657,104,24,2
AC,2020-05-04,881935,733,76,28,4
AC,2020-05-05,881935,817,84,29,1
AC,2020-05-06,881935,943,126,33,4
AC,2020-05-07,881935,1014,71,36,3
AC,2020-05-08,881935,1177,163,38,2
AC,2020-05-09,881935,1335,158,39,1
AC,2020-05-10,881935,1447,112,41,2
AC,2020-05-11,881935,1460,13,45,4
AC,2020-05-12,881935,1590,130,51,6
AC,2020-05-13,881935,1694,104,52,1
AC,2020-05-14,881935,1740,46,55,3
AC,2020-05-15,881935,1785,45,57,2
AC,2020-05-16,881935,1867,82,59,2
AC,2020-05-17,881935,1997,130,60,1
AC,2020-05-18,881935,2234,237,67,7
AC,2020-05-19,881935,2482,248,72,5
AC,2020-05-20,881935,2817,335,76,4
AC,2020-05-21,881935,3103,286,78,2
AC,2020-05-22,881935,3343,240,80,2
AC,2020-05-23,881935,3867,524,87,7
AC,2020-05-24,881935,4160,293,92,5
AC,2020-05-25,881935,4501,341,97,5
AC,2020-05-26,881935,4781,280,105,8
AC,2020-05-27,881935,5251,470,113,8
AC,2020-05-28,881935,5600,349,122,9
AC,2020-05-29,881935,5841,241,135,13
AC,2020-05-30,881935,6072,231,142,7
AC,2020-05-31,881935,6219,147,148,6
AC,2020-06-01,881935,6326,107,161,13
AC,2020-06-02,881935,6465,139,165,4
AC,2020-06-03,881935,6679,214,171,6
AC,2020-06-04,881935,7021,342,181,10
AC,2020-06-05,881935,7284,263,190,9
AC,2020-06-06,881935,7525,241,201,11
AC,2020-06-07,881935,7983,458,207,6
AC,2020-06-08,881935,8128,145,211,4
AC,2020-06-09,881935,8457,329,223,12
AC,2020-06-10,881935,8746,289,237,14
AC,2020-06-11,881935,9091,345,245,8
AC,2020-06-12,881935,9295,204,254,9
AC,2020-06-13,881935,9534,239,256,2
AC,2020-06-14,881935,9642,108,259,3
AC,2020-06-15,881935,9771,129,265,6
AC,2020-06-16,881935,10003,232,271,6
AC,2020-06-17,881935,10339,336,281,10
AC,2020-06-18,881935,10664,325,287,6
AC,2020-06-19,881935,10987,323,292,5
AC,2020-06-20,881935,11263,276,297,5
AC,2020-06-21,881935,11381,118,300,3
AC,2020-06-22,881935,11539,158,305,5
AC,2020-06-23,881935,11810,271,321,16
AC,2020-06-24,881935,12022,212,326,5
AC,2020-06-25,881935,12304,282,335,9
AC,2020-06-26,881935,12644,340,343,8
AC,2020-06-27,881935,12913,269,351,8
AC,2020-06-28,881935,13058,145,353,2
AC,2020-06-29,881935,13146,88,361,8
AC,2020-06-30,881935,13253,107,365,4
AC,2020-07-01,881935,13715,462,370,5
AC,2020-07-02,881935,14048,333,378,8
AC,2020-07-03,881935,14112,64,387,9
AC,2020-07-04,881935,14487,375,391,4
AC,2020-07-05,881935,14622,135,391,0
AC,2020-07-06,881935,14688,66,394,3
AC,2020-07-07,881935,14941,253,399,5
AC,2020-07-08,881935,15167,226,404,5
AC,2020-07-09,881935,15465,298,411,7
AC,2020-07-10,881935,15768,303,417,6
AC,2020-07-11,881935,16080,312,419,2
AC,2020-07-12,881935,16190,110,426,7
AC,2020-07-13,881935,16260,70,430,4
AC,2020-07-14,881935,16479,219,436,6
AC,2020-07-15,881935,16672,193,446,10
AC,2020-07-16,881935,16865,193,447,1
AC,2020-07-17,881935,16965,100,452,5
AC,2020-07-18,881935,17202,237,457,5
AC,2020-07-19,881935,17295,93,460,3
AC,2020-07-20,881935,17462,167,465,5
AC,2020-07-21,881935,17700,238,469,4
AC,2020-07-22,881935,17979,279,470,1
AC,2020-07-23,881935,18157,178,474,4
AC,2020-07-24,881935,18393,236,480,6
AC,2020-07-25,881935,18657,264,483,3
AC,2020-07-26,881935,18745,88,486,3
AC,2020-07-27,881935,18783,38,493,7
AC,2020-07-28,881935,19132,349,500,7
AC,2020-07-29,881935,19366,234,510,10
AC,2020-07-30,881935,19573,207,521,11
AC,2020-07-31,881935,19625,52,531,10
AC,2020-08-01,881935,19930,305,535,4
AC,2020-08-02,881935,19966,36,537,2
AC,2020-08-03,881935,20339,373,539,2
AC,2020-08-04,881935,20708,369,545,6
AC,2020-08-05,881935,21033,325,547,2
AC,2020-08-06,881935,21263,230,552,5
AC,2020-08-07,881935,21376,113,556,4
AC,2020-08-08,881935,21498,122,559,3
AC,2020-08-09,881935,21587,89,561,2
AC,2020-08-10,881935,21619,32,562,1
AC,2020-08-11,881935,21757,138,565,3
AC,2020-08-12,881935,21993,236,569,4
AC,2020-08-13,881935,22242,249,574,5
AC,2020-08-14,881935,22435,193,576,2
AC,2020-08-15,881935,22516,81,576,0
